Sheet: Condition-Kit Mapping

Dr. FACT — Condition → Kit Mapping  |  Based on Clinical Rules |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Question | User Answer | Condition Interpreted | Condition Interpreted | Current Kit (AI Logic) | Funnel | Clinical Notes | ✏ Correction (fill if wrong) | What are the root cause  | Why the recommended product Kit 1 | Why the recommended product Kit 2 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q1 — Duration | 1–3 months | Telogen Effluvium |  | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | Telogen effluvium is usually triggered by miro inflammation from emotional stress, illness, surgery, or infections which progress uncorrected due to nutritional deficiencies like low iron, vitamin B12, vitamin D, protein, further aggrevated in sudden weight loss or crash dieting. | Hair Fact TE Gold kit counters miro inflammation, with antioxidants, anti-inflammatory agents, immunity boosters and essential nutrition supplements which promote hair growth. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 3–6 months | Telogen Effluvium |  Continued Teleogen Effluvium | HAIR FACT TE GOLD / VEG | TE Gold Funnel |  | HAIR FACT TE GOLD / VEG + PHENO TYPE INFLAMMATION | Telogen effluvium is usually triggered by miro inflammation from emotional stress, illness, surgery, or infections which progress uncorrected due to nutritional deficiencies like low iron, vitamin B12, vitamin D, protein, further aggrevated in sudden weight loss or crash dieting. | Hair Fact TE Gold kit counters miro inflammation, with antioxidants, anti-inflammatory agents, immunity boosters and essential nutrition supplements which promote hair growth. | In continued telogen shedding, one of the key underlying triggers is often low-grade, ongoing internal inflammation. This persistent inflammation can weaken the hair follicles, disrupt the normal hair growth cycle, and keep pushing hairs into the shedding phase repeatedly. This occurs because your phenotype favours inflammation. The Phenotype Inflammation Kit is prescribed to help address this root cause. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 6–12 months | Pattern Baldness risk |  Chronic TE with cellular miro inflammation and oxidative stress | M-AGA GOLD / F-AGA GOLD | M-AGA GOLD / F-AGA GOLD | M-AGA GOLD / F-AGA GOLD | M-AGA GOLD / F-AGA GOLD | Over time, repeated cycles of shedding can reduce hair density and unmask an underlying tendency for pattern hair loss that may not have been obvious earlier. This usually happens when the root cause of TE remains uncorrected. This may occur from  rise in intensity of the caustive factors or increased duration of exposure to the factors or addition of multiple factors acting together. | Hair Fact AGA supports follicle strength, improves the hair growth cycle and and helps manage the long-term impact of both telogen shedding and early pattern hair loss. It works by addressing internal immune and inflammation imbalances while also helping maintain hair density and quality over time. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| More than 1 year | Chronic Inflammation Phenotype |  | PRO IMMUNE GOLD +PHENOTYPE INFLAMMATION | Inflammation Funnel |  | PRO IMMUNE GOLD +PHENOTYPE INFLAMMATION | Your hair fall may be linked to an altered inflammatory and immune response around the hair follicles. When the immune system is imbalanced, it can create low-grade inflammation or reduce protection at the root level, making hair follicles weaker and more prone to shedding. | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. | In continued telogen shedding, one of the key underlying triggers is often low-grade, ongoing internal inflammation. This persistent inflammation can weaken the hair follicles, disrupt the normal hair growth cycle, and keep pushing hairs into the shedding phase repeatedly. This occurs because your phenotype favours inflammation. The Phenotype Inflammation Kit is prescribed to help address this root cause. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q2 — Count | 20–50 hairs/day | Immune related weakening |  | PRO IMMUNE GOLD | Pro Immune Funnel |  | No requirement , will depend upon other factor | Your hair fall may be linked to a weakened immune response around the hair follicles. When the immune system is imbalanced, it can create low-grade inflammation or reduce protection at the root level, making hair follicles weaker and more prone to shedding. | Pro Immune Gold helps to strengthen and balance your immune system, reduce internal inflammation, and support healthier hair roots. By improving your body’s internal defense and recovery, it helps create a better environment for hair to grow stronger and shed less over time. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| 50–100 hairs/day | Active shedding |  | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | Telogen effluvium is usually triggered by miro inflammation from emotional stress, illness, surgery, or infections which progress uncorrected due to nutritional deficiencies like low iron, vitamin B12, vitamin D, protein, further aggrevated in sudden weight loss or crash dieting. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| More than 100 hairs/day | Chronic Telogen |  | PRO IMMUNE GOLD | Pro Immune Funnel |  | HAIR FACT TE GOLD  | Over time, repeated cycles of shedding can reduce hair density and unmask an underlying tendency for pattern hair loss that may not have been obvious earlier. This usually happens when the root cause of TE remains uncorrected. This may occur from  rise in intensity of the caustive factors or increased duration of exposure to the factors or addition of multiple factors acting together. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Thinning / Progressive | Pattern baldness |  | M-AGA GOLD / F-AGA GOLD | M-AGA GOLD / F-AGA GOLD | M-AGA GOLD / F-AGA GOLD | M-AGA GOLD / F-AGA GOLD | In pattern hair fall and thinning, hair follicles become sensitive to certain hormones over time, causing them to slowly shrink due to accumulation of free radicals or ROS which are reactive oxygen species or toxins. As a result, the hair becomes finer, shorter, and grows weaker with each cycle. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
Q3 — Hair Type | Full-length with white bulb | Telogen shedding |  | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | HAIR FACT TE GOLD / VEG | The presence of a white bulb at the end of the falling hair indicates that the hair is released or shedding from the root in its resting (telogen) phase. A larger number of hair follicles can be prematurely pushed into the resting stage due to internal triggers such as stress, illness, nutritional deficiencies, environmental or lifestyle changes.  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
| Broken / short hair | Hair shaft damage |  | HAIR FACT HAIR BREAKAGE REPAIR(HBR) | HAIR FACT HAIR BREAKAGE REPAIR(HBR) | HAIR FACT HAIR BREAKAGE REPAIR(HBR) | HAIR FACT HAIR BREAKAGE REPAIR(HBR) | Broken or short hair usually indicates hair shaft damage rather than root-level hair fall. This is often caused by external factors like heat styling, chemical treatments, environmental exposure, or weakened keratin structure, making the hair brittle and prone to breakage. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
